,counts,speed,std,link
2015-01-02 00:00:00,,,,123007
2015-01-02 00:05:00,0.0,,,123007
2015-01-02 00:10:00,0.0,,,123007
2015-01-02 00:15:00,0.0,,,123007
2015-01-02 00:20:00,0.0,,,123007
2015-01-02 00:25:00,0.0,,,123007
2015-01-02 00:30:00,0.0,,,123007
2015-01-02 00:35:00,0.0,,,123007
2015-01-02 00:40:00,0.0,,,123007
2015-01-02 00:45:00,0.0,,,123007
2015-01-02 00:50:00,0.0,,,123007
2015-01-02 00:55:00,0.0,,,123007
2015-01-02 01:00:00,0.0,,,123007
2015-01-02 01:05:00,0.0,,,123007
2015-01-02 01:10:00,1.0,107.0,,123007
2015-01-02 01:15:00,0.0,,,123007
2015-01-02 01:20:00,0.0,,,123007
2015-01-02 01:25:00,0.0,,,123007
2015-01-02 01:30:00,0.0,,,123007
2015-01-02 01:35:00,0.0,,,123007
2015-01-02 01:40:00,1.0,91.0,,123007
2015-01-02 01:45:00,0.0,,,123007
2015-01-02 01:50:00,0.0,,,123007
2015-01-02 01:55:00,0.0,,,123007
2015-01-02 02:00:00,0.0,,,123007
2015-01-02 02:05:00,0.0,,,123007
2015-01-02 02:10:00,0.0,,,123007
2015-01-02 02:15:00,0.0,,,123007
2015-01-02 02:20:00,0.0,,,123007
2015-01-02 02:25:00,0.0,,,123007
2015-01-02 02:30:00,0.0,,,123007
2015-01-02 02:35:00,2.0,90.0,7.0710678118654755,123007
2015-01-02 02:40:00,0.0,,,123007
2015-01-02 02:45:00,0.0,,,123007
2015-01-02 02:50:00,0.0,,,123007
2015-01-02 02:55:00,0.0,,,123007
2015-01-02 03:00:00,0.0,,,123007
2015-01-02 03:05:00,0.0,,,123007
2015-01-02 03:10:00,0.0,,,123007
2015-01-02 03:15:00,0.0,,,123007
2015-01-02 03:20:00,0.0,,,123007
2015-01-02 03:25:00,0.0,,,123007
2015-01-02 03:30:00,0.0,,,123007
2015-01-02 03:35:00,1.0,87.0,,123007
2015-01-02 03:40:00,0.0,,,123007
2015-01-02 03:45:00,0.0,,,123007
2015-01-02 03:50:00,0.0,,,123007
2015-01-02 03:55:00,0.0,,,123007
2015-01-02 04:00:00,1.0,144.0,,123007
2015-01-02 04:05:00,0.0,,,123007
2015-01-02 04:10:00,0.0,,,123007
2015-01-02 04:15:00,0.0,,,123007
2015-01-02 04:20:00,1.0,89.0,,123007
2015-01-02 04:25:00,1.0,81.0,,123007
2015-01-02 04:30:00,0.0,,,123007
2015-01-02 04:35:00,1.0,67.0,,123007
2015-01-02 04:40:00,0.0,,,123007
2015-01-02 04:45:00,0.0,,,123007
2015-01-02 04:50:00,0.0,,,123007
2015-01-02 04:55:00,1.0,100.0,,123007
2015-01-02 05:00:00,2.0,72.5,4.949747468305833,123007
2015-01-02 05:05:00,1.0,137.0,,123007
2015-01-02 05:10:00,0.0,,,123007
2015-01-02 05:15:00,2.0,107.5,13.435028842544403,123007
2015-01-02 05:20:00,0.0,,,123007
2015-01-02 05:25:00,4.0,90.75,6.946221994724902,123007
2015-01-02 05:30:00,0.0,,,123007
2015-01-02 05:35:00,2.0,100.5,24.748737341529164,123007
2015-01-02 05:40:00,4.0,90.5,24.610295948376297,123007
2015-01-02 05:45:00,1.0,120.0,,123007
2015-01-02 05:50:00,3.0,88.33333333333333,18.009256878986797,123007
2015-01-02 05:55:00,1.0,111.0,,123007
2015-01-02 06:00:00,0.0,,,123007
2015-01-02 06:05:00,0.0,,,123007
2015-01-02 06:10:00,2.0,93.5,19.091883092036785,123007
2015-01-02 06:15:00,1.0,91.0,,123007
2015-01-02 06:20:00,0.0,,,123007
2015-01-02 06:25:00,0.0,,,123007
2015-01-02 06:30:00,0.0,,,123007
2015-01-02 06:35:00,2.0,94.5,19.091883092036785,123007
2015-01-02 06:40:00,1.0,99.0,,123007
2015-01-02 06:45:00,0.0,,,123007
2015-01-02 06:50:00,1.0,85.0,,123007
2015-01-02 06:55:00,0.0,,,123007
2015-01-02 07:00:00,1.0,106.0,,123007
2015-01-02 07:05:00,1.0,135.0,,123007
2015-01-02 07:10:00,0.0,,,123007
2015-01-02 07:15:00,4.0,105.25,9.776672917374976,123007
2015-01-02 07:20:00,0.0,,,123007
2015-01-02 07:25:00,2.0,88.0,43.840620433565945,123007
2015-01-02 07:30:00,0.0,,,123007
2015-01-02 07:35:00,0.0,,,123007
2015-01-02 07:40:00,2.0,100.5,37.476659402887016,123007
2015-01-02 07:45:00,2.0,96.5,26.16295090390226,123007
2015-01-02 07:50:00,1.0,100.0,,123007
2015-01-02 07:55:00,1.0,148.0,,123007
